Repo Name,Username,Stars,Repo URL
ccxt,ccxt,32299.999999999996,https://github.com/ccxt/ccxt
python-telegram-bot,python-telegram-bot,25700.0,https://github.com/python-telegram-bot/python-telegram-bot
discord.js,discordjs,25200.0,https://github.com/discordjs/discord.js
wechaty,wechaty,19900.0,https://github.com/wechaty/wechaty
rasa,RasaHQ,18500.0,https://github.com/RasaHQ/rasa
InstaPy,InstaPy,16700.0,https://github.com/InstaPy/InstaPy
hubot,hubotio,16600.0,https://github.com/hubotio/hubot
leon,leon-ai,15200.0,https://github.com/leon-ai/leon
whatsapp-web.js,pedroslopez,14900.0,https://github.com/pedroslopez/whatsapp-web.js
discord.py,Rapptz,14700.0,https://github.com/Rapptz/discord.py
YYeTsBot,tgbot-collection,14100.0,https://github.com/tgbot-collection/YYeTsBot
ChatterBot,gunthercox,14000.0,https://github.com/gunthercox/ChatterBot
chatgpt-mirai-qq-bot,lss233,12900.0,https://github.com/lss233/chatgpt-mirai-qq-bot
botkit,howdyai,11400.0,https://github.com/howdyai/botkit
go-cqhttp,Mrs4s,10400.0,https://github.com/Mrs4s/go-cqhttp
EverydayWechat,sfyc23,10000.0,https://github.com/sfyc23/EverydayWechat
node-telegram-bot-api,yagop,8300.0,https://github.com/yagop/node-telegram-bot-api
telegraf,telegraf,8100.0,https://github.com/telegraf/telegraf
ailab,microsoft,7700.0,https://github.com/microsoft/ailab
botframework-sdk,microsoft,7500.0,https://github.com/microsoft/botframework-sdk
