Repo Name,Username,Stars,Repo URL
public-apis,public-apis,311000.0,https://github.com/public-apis/public-apis
neovim,neovim,81100.0,https://github.com/neovim/neovim
fastapi,fastapi,74900.0,https://github.com/fastapi/fastapi
hoppscotch,hoppscotch,63400.0,https://github.com/hoppscotch/hoppscotch
strapi,strapi,62500.0,https://github.com/strapi/strapi
imgui,ocornut,59000.0,https://github.com/ocornut/imgui
slate,slatedocs,36000.0,https://github.com/slatedocs/slate
quivr,QuivrHQ,35600.0,https://github.com/QuivrHQ/quivr
insomnia,Kong,34200.0,https://github.com/Kong/insomnia
trpc,trpc,34100.0,https://github.com/trpc/trpc
cli,httpie,33200.0,https://github.com/httpie/cli
ccxt,ccxt,32299.999999999996,https://github.com/ccxt/ccxt
graphql-engine,hasura,31000.0,https://github.com/hasura/graphql-engine
NeteaseCloudMusicApi,Binaryify,30300.0,https://github.com/Binaryify/NeteaseCloudMusicApi
django-rest-framework,encode,28100.0,https://github.com/encode/django-rest-framework
yapi,YMFE,27300.0,https://github.com/YMFE/yapi
directus,directus,26900.0,https://github.com/directus/directus
ItChat,littlecodersh,25400.0,https://github.com/littlecodersh/ItChat
postgrest,PostgREST,23100.0,https://github.com/PostgREST/postgrest
LocalAI,mudler,22800.0,https://github.com/mudler/LocalAI
