Repo Name,Username,Stars,Repo URL
bitcoin,bitcoin,77700.0,https://github.com/bitcoin/bitcoin
ccxt,ccxt,32299.999999999996,https://github.com/ccxt/ccxt
OpenBB,OpenBB-finance,29300.0,https://github.com/OpenBB-finance/OpenBB
freqtrade,freqtrade,27800.0,https://github.com/freqtrade/freqtrade
dogecoin,dogecoin,14400.0,https://github.com/dogecoin/dogecoin
monero,monero-project,8800.0,https://github.com/monero-project/monero
xmrig,xmrig,8600.0,https://github.com/xmrig/xmrig
hummingbot,hummingbot,7900.0,https://github.com/hummingbot/hummingbot
tachyon,kroma-network,7800.0,https://github.com/kroma-network/tachyon
blockchain,dvf,7700.0,https://github.com/dvf/blockchain
lnd,lightningnetwork,7600.0,https://github.com/lightningnetwork/lnd
lbry-sdk,lbryio,7200.0,https://github.com/lbryio/lbry-sdk
StockSharp,StockSharp,7000.0,https://github.com/StockSharp/StockSharp
financial-machine-learning,firmai,6800.0,https://github.com/firmai/financial-machine-learning
cosmos-sdk,cosmos,6200.0,https://github.com/cosmos/cosmos-sdk
python-binance,sammchardy,5900.0,https://github.com/sammchardy/python-binance
tendermint,tendermint,5700.0,https://github.com/tendermint/tendermint
jesse,jesse-ai,5500.0,https://github.com/jesse-ai/jesse
seaprotocol,sea-protocol,5100.0,https://github.com/sea-protocol/seaprotocol
grin,mimblewimble,5000.0,https://github.com/mimblewimble/grin
